"Date" "Description" "URL" "Price" "User" "Reviews" "Product"
"2015-04-16 ." " Exploit BTS ." " http://trdealmgn4uvm42g.onion/item/4e7c03818304113c2a7b ." " BTC 221.99670176 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-04-16 ." " Alina POS malware full source code ." " http://trdealmgn4uvm42g.onion/item/40c261807f37f285ca1f ." " BTC 0.00409700 ." " ping ." " 0 reviews ." " : Source Code"
"2015-04-16 ." " A5/1 Encryption Rainbow Tables ." " http://trdealmgn4uvm42g.onion/item/c2dbf5ff8f4482cd5b18 ." " BTC 3.80000000 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-04-16 ." " Exploit Kits Source Code ." " http://trdealmgn4uvm42g.onion/item/8698c4232455d8ee3a10 ." " BTC 0.00816000 ." " ping ." " 0 reviews ." " : Source Code"
"2015-04-16 ." " apple id / icloud remote exploit ." " http://trdealmgn4uvm42g.onion/item/01beebe3af281f9d6af9 ." " BTC 76.00000000 ." " fapple ." " 0 reviews ." " : 0-Day exploits"
"2015-04-16 ." " INTERNATIONAL BANK DROP ." " http://trdealmgn4uvm42g.onion/item/d3cc040f85c0d92339c1 ." " BTC 0.00500000 ." " KnowHowForAll ." " 0 reviews ." " : Accounts"
"2015-04-16 ." " Internet Explorer <= 11 ." " http://trdealmgn4uvm42g.onion/item/b1dae71ccf3c657127cc ." " BTC 35.00000000 ." " fukwits ." " 0 reviews ." " : 0-Day exploits"
"2015-04-16 ." " apple id / icloud remote exploit ." " http://trdealmgn4uvm42g.onion/item/8d7947bb2837182cb77f ." " BTC 1.00000000 ." " fapple ." " 0 reviews ." " : Accounts"
"2015-04-16 ." " Android WebView 0day RCE ." " http://trdealmgn4uvm42g.onion/item/86a2a5b9a2f80780b28f ." " BTC 36.50000000 ." " Logger ." " 0 reviews ." " : 0-Day exploits"
"2015-04-16 ." " Wordpress MU RCE ." " http://trdealmgn4uvm42g.onion/item/66195bb72c6254c8be4f ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 0-Day exploits"
"2015-04-16 ." " 45K+ Wordpress admin passwords ." " http://trdealmgn4uvm42g.onion/item/e08ac0e9139ead9619c3 ." " BTC 1.50000000 ." " Logger ." " 0 reviews ." " : Accounts"
"2015-04-16 ." " SSH sniffer logs ." " http://trdealmgn4uvm42g.onion/item/8e33fb803f2c1f263018 ." " BTC 1.20000000 ." " bestbuy ." " 0 reviews ." " : Accounts"
"2015-04-28 ." " NiceGuy Message spammer ." " http://trdealmgn4uvm42g.onion/item/0e404539857089829636 ." " BTC 0.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-04-28 ." " FUD .CHM download and execute ." " http://trdealmgn4uvm42g.onion/item/d25dd79e777d73772b77 ." " BTC 2.00000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-28 ." " Wordpress Comment Spammer + Exploit ." " http://trdealmgn4uvm42g.onion/item/3b40d9e28a79ac0a075e ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-04-28 ." " FUD .js download and execute ." " http://trdealmgn4uvm42g.onion/item/807601744afd4452b307 ." " BTC 1.30000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-28 ." " Agora Message Spammer ." " http://trdealmgn4uvm42g.onion/item/746709460811baa62654 ." " BTC 0.60000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-04-28 ." " Adobe Flash < 16.0.0.296 (CVE-2015-0313) ." " http://trdealmgn4uvm42g.onion/item/9c557991e653a953f398 ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-28 ." " Adobe Flash < 16.0.0.287 (CVE-2015-0311) ." " http://trdealmgn4uvm42g.onion/item/c8b6e0aa68f010099c7a ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-28 ." " The real GovRAT ." " http://trdealmgn4uvm42g.onion/item/7615c663b6ebb2e9a8e2 ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : RATs"
"2015-04-28 ." " Internet Explorer <= 11 ." " http://trdealmgn4uvm42g.onion/item/b1dae71ccf3c657127cc ." " BTC 35.00000000 ." " fukwits ." " 0 reviews ." " : 0-Day exploits"
"2015-04-28 ." " *NEW* ring0 LPE Exploit CVE-2015-0057 ." " http://trdealmgn4uvm42g.onion/item/fa69dbf05c06a16d4e78 ." " BTC 48.17000000 ." " PlayBit ." " 0 reviews ." " : 1Day Private Exploits"
"2015-04-28 ." " Android WebView 0day RCE ." " http://trdealmgn4uvm42g.onion/item/86a2a5b9a2f80780b28f ." " BTC 36.50000000 ." " Logger ." " 0 reviews ." " : 0-Day exploits"
"2015-04-28 ." " Remove Time Limit from BTC Faucet ." " http://trdealmgn4uvm42g.onion/item/92caedebeb0c6037b99c ." " BTC 1.00000000 ." " CanadianDirect ." " 0 reviews ." " : 1Day Private Exploits"
"2015-04-28 ." " MS15-034  Microsoft IIS Remote Code Execution ." " http://trdealmgn4uvm42g.onion/item/c61b9e0d8369546c47b6 ." " BTC 323.31070158 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-04-28 ." " Wordpress MU RCE ." " http://trdealmgn4uvm42g.onion/item/66195bb72c6254c8be4f ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 0-Day exploits"
"2015-04-28 ." " Netis / Netcore router RCE ." " http://trdealmgn4uvm42g.onion/item/26717c05754d8cb16086 ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-04-28 ." " Tomcat Worm ." " http://trdealmgn4uvm42g.onion/item/5de05c149fcb40151d7a ." " BTC 7.75945684 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-04-28 ." " ProFTPD mod_copy worm ." " http://trdealmgn4uvm42g.onion/item/e4fe83e5d9466675996c ." " BTC 6.46621403 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-04-28 ." " Jboss worm code ." " http://trdealmgn4uvm42g.onion/item/3388f9514233b158f53a ." " BTC 3.23310702 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-04-28 ." " Dendroid Android RAT ." " http://trdealmgn4uvm42g.onion/item/152be40c232ba3914762 ." " BTC 0.03233107 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-04-28 ." " Start your own maket ." " http://trdealmgn4uvm42g.onion/item/eb94d0e39b8f415c54c7 ." " BTC 34.88422797 ." " TRD_OFFICIAL ." " 0 reviews ." " : Source Code"
"2015-04-28 ." " 1x Code signing cert ." " http://trdealmgn4uvm42g.onion/item/fe8314d487032fa51cc4 ." " BTC 1.25000000 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-04-28 ." " Unlimited REAL code signing ." " http://trdealmgn4uvm42g.onion/item/62927212a9f52d9995dd ." " BTC 4.20000000 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-04-28 ." " Exploit BTS ." " http://trdealmgn4uvm42g.onion/item/4e7c03818304113c2a7b ." " BTC 226.30285788 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-04-28 ." " A5/1 Encryption Rainbow Tables ." " http://trdealmgn4uvm42g.onion/item/c2dbf5ff8f4482cd5b18 ." " BTC 3.80000000 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-04-28 ." " INTERNATIONAL BANK DROP ." " http://trdealmgn4uvm42g.onion/item/d3cc040f85c0d92339c1 ." " BTC 0.00500000 ." " KnowHowForAll ." " 0 reviews ." " : Accounts"
"2015-04-28 ." " Real Slut Party Premium Account ." " http://trdealmgn4uvm42g.onion/item/247b99143b9debb15977 ." " BTC 0.00436053 ." " TwiceAsNice ." " 0 reviews ." " : Accounts"
"2015-04-28 ." " exGF.com Premium Account ." " http://trdealmgn4uvm42g.onion/item/aa02ca72d2fbc598e306 ." " BTC 0.00436053 ." " TwiceAsNice ." " 1 reviews ." " : Accounts"
"2015-04-28 ." " 45K+ Wordpress admin passwords ." " http://trdealmgn4uvm42g.onion/item/e08ac0e9139ead9619c3 ." " BTC 1.50000000 ." " Logger ." " 0 reviews ." " : Accounts"
"2015-04-28 ." " SSH sniffer logs ." " http://trdealmgn4uvm42g.onion/item/8e33fb803f2c1f263018 ." " BTC 1.20000000 ." " bestbuy ." " 0 reviews ." " : Accounts"
"2015-04-28 ." " Linux botnet ." " http://trdealmgn4uvm42g.onion/item/d1cd9d81b7be4934a0d7 ." " BTC 2.00000000 ." " bestbuy ." " 0 reviews ." " : Accounts"
"2015-04-30 ." " *NEW* ring0 LPE Exploit CVE-2015-0057 ." " http://trdealmgn4uvm42g.onion/item/fa69dbf05c06a16d4e78 ." " BTC 48.17000000 ." " PlayBit ." " 0 reviews ." " : 1Day Private Exploits"
"2015-04-30 ." " MS15-034  Microsoft IIS Remote Code Execution ." " http://trdealmgn4uvm42g.onion/item/c61b9e0d8369546c47b6 ." " BTC 318.63369870 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-04-30 ." " Netis / Netcore router RCE ." " http://trdealmgn4uvm42g.onion/item/26717c05754d8cb16086 ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-04-30 ." " Internet Explorer <= 11 ." " http://trdealmgn4uvm42g.onion/item/b1dae71ccf3c657127cc ." " BTC 35.00000000 ." " fukwits ." " 0 reviews ." " : 0-Day exploits"
"2015-04-30 ." " Android WebView 0day RCE ." " http://trdealmgn4uvm42g.onion/item/86a2a5b9a2f80780b28f ." " BTC 36.50000000 ." " Logger ." " 0 reviews ." " : 0-Day exploits"
"2015-04-30 ." " FUD .CHM download and execute ." " http://trdealmgn4uvm42g.onion/item/d25dd79e777d73772b77 ." " BTC 2.00000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-30 ." " Wordpress MU RCE ." " http://trdealmgn4uvm42g.onion/item/66195bb72c6254c8be4f ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 0-Day exploits"
"2015-04-30 ." " FUD .js download and execute ." " http://trdealmgn4uvm42g.onion/item/807601744afd4452b307 ." " BTC 1.30000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-30 ." " Adobe Flash < 16.0.0.296 (CVE-2015-0313) ." " http://trdealmgn4uvm42g.onion/item/9c557991e653a953f398 ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-30 ." " NiceGuy Message spammer ." " http://trdealmgn4uvm42g.onion/item/0e404539857089829636 ." " BTC 0.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-04-30 ." " Wordpress Comment Spammer + Exploit ." " http://trdealmgn4uvm42g.onion/item/3b40d9e28a79ac0a075e ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-04-30 ." " Adobe Flash < 16.0.0.287 (CVE-2015-0311) ." " http://trdealmgn4uvm42g.onion/item/c8b6e0aa68f010099c7a ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-30 ." " Agora Message Spammer ." " http://trdealmgn4uvm42g.onion/item/746709460811baa62654 ." " BTC 0.60000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-04-30 ." " The real GovRAT ." " http://trdealmgn4uvm42g.onion/item/7615c663b6ebb2e9a8e2 ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : RATs"
"2015-04-30 ." " Exploit BTS ." " http://trdealmgn4uvm42g.onion/item/4e7c03818304113c2a7b ." " BTC 222.98674822 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-04-30 ." " A5/1 Encryption Rainbow Tables ." " http://trdealmgn4uvm42g.onion/item/c2dbf5ff8f4482cd5b18 ." " BTC 3.80000000 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-04-30 ." " INTERNATIONAL BANK DROP ." " http://trdealmgn4uvm42g.onion/item/d3cc040f85c0d92339c1 ." " BTC 0.00500000 ." " KnowHowForAll ." " 0 reviews ." " : Accounts"
"2015-04-30 ." " Real Slut Party Premium Account ." " http://trdealmgn4uvm42g.onion/item/247b99143b9debb15977 ." " BTC 0.00424034 ." " TwiceAsNice ." " 0 reviews ." " : Accounts"
"2015-04-30 ." " exGF.com Premium Account ." " http://trdealmgn4uvm42g.onion/item/aa02ca72d2fbc598e306 ." " BTC 0.00424034 ." " TwiceAsNice ." " 1 reviews ." " : Accounts"
"2015-04-30 ." " 45K+ Wordpress admin passwords ." " http://trdealmgn4uvm42g.onion/item/e08ac0e9139ead9619c3 ." " BTC 1.50000000 ." " Logger ." " 0 reviews ." " : Accounts"
"2015-04-30 ." " SSH sniffer logs ." " http://trdealmgn4uvm42g.onion/item/8e33fb803f2c1f263018 ." " BTC 1.20000000 ." " bestbuy ." " 0 reviews ." " : Accounts"
"2015-04-30 ." " Linux botnet ." " http://trdealmgn4uvm42g.onion/item/d1cd9d81b7be4934a0d7 ." " BTC 2.00000000 ." " bestbuy ." " 0 reviews ." " : Accounts"
"2015-04-30 ." " Tomcat Worm ." " http://trdealmgn4uvm42g.onion/item/5de05c149fcb40151d7a ." " BTC 7.64525994 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-04-30 ." " ProFTPD mod_copy worm ." " http://trdealmgn4uvm42g.onion/item/e4fe83e5d9466675996c ." " BTC 6.37104995 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-04-30 ." " Jboss worm code ." " http://trdealmgn4uvm42g.onion/item/3388f9514233b158f53a ." " BTC 3.18552497 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-04-30 ." " Dendroid Android RAT ." " http://trdealmgn4uvm42g.onion/item/152be40c232ba3914762 ." " BTC 0.03185525 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-04-30 ." " Start your own maket ." " http://trdealmgn4uvm42g.onion/item/eb94d0e39b8f415c54c7 ." " BTC 33.92274096 ." " TRD_OFFICIAL ." " 0 reviews ." " : Source Code"
"2015-04-30 ." " 1x Code signing cert ." " http://trdealmgn4uvm42g.onion/item/fe8314d487032fa51cc4 ." " BTC 1.25000000 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-04-30 ." " Unlimited REAL code signing ." " http://trdealmgn4uvm42g.onion/item/62927212a9f52d9995dd ." " BTC 4.20000000 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-02 ." " *NEW* ring0 LPE Exploit CVE-2015-0057 ." " http://trdealmgn4uvm42g.onion/item/fa69dbf05c06a16d4e78 ." " BTC 48.17000000 ." " PlayBit ." " 0 reviews ." " : 1Day Private Exploits"
"2015-05-02 ." " MS15-034  Microsoft IIS Remote Code Execution ." " http://trdealmgn4uvm42g.onion/item/c61b9e0d8369546c47b6 ." " BTC 312.32431757 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-05-02 ." " Netis / Netcore router RCE ." " http://trdealmgn4uvm42g.onion/item/26717c05754d8cb16086 ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-05-02 ." " NiceGuy Message spammer ." " http://trdealmgn4uvm42g.onion/item/0e404539857089829636 ." " BTC 0.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-05-02 ." " FUD .CHM download and execute ." " http://trdealmgn4uvm42g.onion/item/d25dd79e777d73772b77 ." " BTC 2.00000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-05-02 ." " Wordpress Comment Spammer + Exploit ." " http://trdealmgn4uvm42g.onion/item/3b40d9e28a79ac0a075e ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-05-02 ." " FUD .js download and execute ." " http://trdealmgn4uvm42g.onion/item/807601744afd4452b307 ." " BTC 1.30000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-05-02 ." " Agora Message Spammer ." " http://trdealmgn4uvm42g.onion/item/746709460811baa62654 ." " BTC 0.60000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-05-02 ." " Adobe Flash < 16.0.0.296 (CVE-2015-0313) ." " http://trdealmgn4uvm42g.onion/item/9c557991e653a953f398 ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-05-02 ." " Adobe Flash < 16.0.0.287 (CVE-2015-0311) ." " http://trdealmgn4uvm42g.onion/item/c8b6e0aa68f010099c7a ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-05-02 ." " Internet Explorer <= 11 ." " http://trdealmgn4uvm42g.onion/item/b1dae71ccf3c657127cc ." " BTC 35.00000000 ." " fukwits ." " 0 reviews ." " : 0-Day exploits"
"2015-05-02 ." " Android WebView 0day RCE ." " http://trdealmgn4uvm42g.onion/item/86a2a5b9a2f80780b28f ." " BTC 36.50000000 ." " Logger ." " 0 reviews ." " : 0-Day exploits"
"2015-05-02 ." " Wordpress MU RCE ." " http://trdealmgn4uvm42g.onion/item/66195bb72c6254c8be4f ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 0-Day exploits"
"2015-05-02 ." " The real GovRAT ." " http://trdealmgn4uvm42g.onion/item/7615c663b6ebb2e9a8e2 ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : RATs"
"2015-05-02 ." " Exploit BTS ." " http://trdealmgn4uvm42g.onion/item/4e7c03818304113c2a7b ." " BTC 218.62702230 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-05-02 ." " A5/1 Encryption Rainbow Tables ." " http://trdealmgn4uvm42g.onion/item/c2dbf5ff8f4482cd5b18 ." " BTC 3.80000000 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-05-02 ." " Tomcat Worm ." " http://trdealmgn4uvm42g.onion/item/5de05c149fcb40151d7a ." " BTC 7.49578362 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-02 ." " ProFTPD mod_copy worm ." " http://trdealmgn4uvm42g.onion/item/e4fe83e5d9466675996c ." " BTC 6.24648635 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-02 ." " Jboss worm code ." " http://trdealmgn4uvm42g.onion/item/3388f9514233b158f53a ." " BTC 3.12324318 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-02 ." " Dendroid Android RAT ." " http://trdealmgn4uvm42g.onion/item/152be40c232ba3914762 ." " BTC 0.03123243 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-02 ." " INTERNATIONAL BANK DROP ." " http://trdealmgn4uvm42g.onion/item/d3cc040f85c0d92339c1 ." " BTC 0.00500000 ." " KnowHowForAll ." " 0 reviews ." " : Accounts"
"2015-05-02 ." " Start your own maket ." " http://trdealmgn4uvm42g.onion/item/eb94d0e39b8f415c54c7 ." " BTC 34.11804845 ." " TRD_OFFICIAL ." " 0 reviews ." " : Source Code"
"2015-05-02 ." " Real Slut Party Premium Account ." " http://trdealmgn4uvm42g.onion/item/247b99143b9debb15977 ." " BTC 0.00426476 ." " TwiceAsNice ." " 0 reviews ." " : Accounts"
"2015-05-02 ." " exGF.com Premium Account ." " http://trdealmgn4uvm42g.onion/item/aa02ca72d2fbc598e306 ." " BTC 0.00426476 ." " TwiceAsNice ." " 1 reviews ." " : Accounts"
"2015-05-02 ." " 1x Code signing cert ." " http://trdealmgn4uvm42g.onion/item/fe8314d487032fa51cc4 ." " BTC 1.25000000 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-02 ." " 45K+ Wordpress admin passwords ." " http://trdealmgn4uvm42g.onion/item/e08ac0e9139ead9619c3 ." " BTC 1.50000000 ." " Logger ." " 0 reviews ." " : Accounts"
"2015-05-02 ." " Unlimited REAL code signing ." " http://trdealmgn4uvm42g.onion/item/62927212a9f52d9995dd ." " BTC 4.20000000 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-02 ." " SSH sniffer logs ." " http://trdealmgn4uvm42g.onion/item/8e33fb803f2c1f263018 ." " BTC 1.20000000 ." " bestbuy ." " 0 reviews ." " : Accounts"
"2015-05-02 ." " Linux botnet ." " http://trdealmgn4uvm42g.onion/item/d1cd9d81b7be4934a0d7 ." " BTC 2.00000000 ." " bestbuy ." " 0 reviews ." " : Accounts"
"2015-05-03 ." " FUD .CHM download and execute ." " http://trdealmgn4uvm42g.onion/item/d25dd79e777d73772b77 ." " BTC 2.00000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-05-03 ." " FUD .js download and execute ." " http://trdealmgn4uvm42g.onion/item/807601744afd4452b307 ." " BTC 1.30000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-05-03 ." " Adobe Flash < 16.0.0.296 (CVE-2015-0313) ." " http://trdealmgn4uvm42g.onion/item/9c557991e653a953f398 ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-05-03 ." " Adobe Flash < 16.0.0.287 (CVE-2015-0311) ." " http://trdealmgn4uvm42g.onion/item/c8b6e0aa68f010099c7a ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-05-03 ." " Hack any appleid and iCloud ." " http://trdealmgn4uvm42g.onion/item/ea438d4eb9b39cf8a08f ." " BTC 111.00000000 ." " Logger ." " 0 reviews ." " : 0-Day exploits"
"2015-05-03 ." " INTERNATIONAL BANK DROP ." " http://trdealmgn4uvm42g.onion/item/d3cc040f85c0d92339c1 ." " BTC 0.00500000 ." " KnowHowForAll ." " 0 reviews ." " : Accounts"
"2015-05-03 ." " Linux <= 3.13.0-48 Kernel Panic ." " http://trdealmgn4uvm42g.onion/item/f995579ba375d75275f8 ." " BTC 2.00000000 ." " Logger ." " 0 reviews ." " : 0-Day exploits"
"2015-05-03 ." " Internet Explorer <= 11 ." " http://trdealmgn4uvm42g.onion/item/b1dae71ccf3c657127cc ." " BTC 35.00000000 ." " fukwits ." " 0 reviews ." " : 0-Day exploits"
"2015-05-03 ." " Real Slut Party Premium Account ." " http://trdealmgn4uvm42g.onion/item/247b99143b9debb15977 ." " BTC 0.00411794 ." " TwiceAsNice ." " 0 reviews ." " : Accounts"
"2015-05-03 ." " NiceGuy Message spammer ." " http://trdealmgn4uvm42g.onion/item/0e404539857089829636 ." " BTC 0.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-05-03 ." " Android WebView 0day RCE ." " http://trdealmgn4uvm42g.onion/item/86a2a5b9a2f80780b28f ." " BTC 36.50000000 ." " Logger ." " 0 reviews ." " : 0-Day exploits"
"2015-05-03 ." " exGF.com Premium Account ." " http://trdealmgn4uvm42g.onion/item/aa02ca72d2fbc598e306 ." " BTC 0.00411794 ." " TwiceAsNice ." " 1 reviews ." " : Accounts"
"2015-05-03 ." " Wordpress MU RCE ." " http://trdealmgn4uvm42g.onion/item/66195bb72c6254c8be4f ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 0-Day exploits"
"2015-05-03 ." " Wordpress Comment Spammer + Exploit ." " http://trdealmgn4uvm42g.onion/item/3b40d9e28a79ac0a075e ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-05-03 ." " 45K+ Wordpress admin passwords ." " http://trdealmgn4uvm42g.onion/item/e08ac0e9139ead9619c3 ." " BTC 1.50000000 ." " Logger ." " 0 reviews ." " : Accounts"
"2015-05-03 ." " *NEW* ring0 LPE Exploit CVE-2015-0057 ." " http://trdealmgn4uvm42g.onion/item/fa69dbf05c06a16d4e78 ." " BTC 48.17000000 ." " PlayBit ." " 0 reviews ." " : 1Day Private Exploits"
"2015-05-03 ." " Agora Message Spammer ." " http://trdealmgn4uvm42g.onion/item/746709460811baa62654 ." " BTC 0.60000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-05-03 ." " SSH sniffer logs ." " http://trdealmgn4uvm42g.onion/item/8e33fb803f2c1f263018 ." " BTC 1.20000000 ." " bestbuy ." " 0 reviews ." " : Accounts"
"2015-05-03 ." " MS15-034  Microsoft IIS Remote Code Execution ." " http://trdealmgn4uvm42g.onion/item/c61b9e0d8369546c47b6 ." " BTC 308.01453829 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-05-03 ." " Linux botnet ." " http://trdealmgn4uvm42g.onion/item/d1cd9d81b7be4934a0d7 ." " BTC 2.00000000 ." " bestbuy ." " 0 reviews ." " : Accounts"
"2015-05-03 ." " Netis / Netcore router RCE ." " http://trdealmgn4uvm42g.onion/item/26717c05754d8cb16086 ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-05-03 ." " The real GovRAT ." " http://trdealmgn4uvm42g.onion/item/7615c663b6ebb2e9a8e2 ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : RATs"
"2015-05-03 ." " Exploit BTS ." " http://trdealmgn4uvm42g.onion/item/4e7c03818304113c2a7b ." " BTC 215.61017680 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-05-03 ." " A5/1 Encryption Rainbow Tables ." " http://trdealmgn4uvm42g.onion/item/c2dbf5ff8f4482cd5b18 ." " BTC 3.80000000 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-05-03 ." " Tomcat Worm ." " http://trdealmgn4uvm42g.onion/item/5de05c149fcb40151d7a ." " BTC 7.39234892 ." " bestbuy ." " 0 reviews ." " : Source Code"
